category,filename,alt_text,university,source
Japan University Logos,akita international university logo.png,akita international university logo,Akita International University,github.com/akita-international-university organization avatar (visually verified)
Japan University Logos,hokkaido university logo.png,hokkaido university logo,Hokkaido University,repo asset site/assets/logos/hokkaido.png (user-verified)
Japan University Logos,kyoto university logo.jpg,kyoto university logo,Kyoto University,"github.com/kyoto-u organization avatar (official seal, visually verified)"
Japan University Logos,kyoto university of advanced science kuas logo.png,kyoto university of advanced science kuas logo,Kyoto University of Advanced Science (KUAS),repo asset site/assets/logos/kuas.png (user-verified)
Japan University Logos,temple university japan campus logo.png,temple university japan campus logo,Temple University Japan Campus,repo asset site/assets/logos/temple.png (user-verified)
Japan University Logos,tokyo international university logo.png,tokyo international university logo,Tokyo International University,repo asset site/assets/logos/tokyo_intl.png (user-verified)
Japan University Logos,toyo university logo.png,toyo university logo,Toyo University,repo asset site/assets/logos/toyo.png (user-verified)
Japan University Logos,university of tsukuba logo.png,university of tsukuba logo,University of Tsukuba,repo asset site/assets/logos/tsukuba.png (user-verified)
Japan University Logos,waseda university logo.png,waseda university logo,Waseda University,repo asset site/assets/logos/waseda.png (user-verified)
Japan University Logos,ritsumeikan asia pacific university logo.png,ritsumeikan asia pacific university logo,Ritsumeikan Asia Pacific University,Wikipedia article infobox logo (visually verified)
Japan University Pictures,tokyo international university campus 1.jpg,tokyo international university campus,Tokyo International University,Wikimedia Commons (visually verified): https://commons.wikimedia.org/wiki/File:Tokyo_International_University_(Ikebukuro_Campus).jpg
Japan University Pictures,tokyo international university campus 2.jpg,tokyo international university campus,Tokyo International University,Wikimedia Commons (visually verified): https://commons.wikimedia.org/wiki/File:Tokyo_International_University_(Ikebukuro_Campus)_2.jpg
Japan University Pictures,tokyo international university campus 3.jpg,tokyo international university campus,Tokyo International University,Wikimedia Commons (visually verified): https://commons.wikimedia.org/wiki/File:Tokyo_International_University_(Ikebukuro_Campus)_3.jpg
